japanese,english
に,On
する,do
は,teeth
を,of
た,rice field
が,But
年,Year
と,When
て,hand
で,and
だ,is
れる,Be
月,Moon
いる,Be
ある,be
日,Day
も,and
から,from
なる,Become
ない,do not have
こと,thing
第,First
として,As
や,or
市,city
県,prefecture
者,person
など,Such
日本,Japan
人,Man
ため,For
駅,station
この,this
的,Intended
られる,Be
その,That
町,town
へ,What
後,rear
まで,to
よう,So
放送,broadcast
号,issue
名,Name
中,During ~
という,As
また,Also
もの,thing
行う,conduct
一,one
回,times
部,Department
時,Time
家,House
か,mosquito
リンク,Link
村,village
郡,county
学校,school
より,Than
できる,can
線,line
おる,is
昭和,Showa
東京,Tokyo
番組,program
大,Big
により,By
会,Meeting
外部,external
現在,Current
画像,image
ぬ,Lantern
区,Ward
による,according to
二,two
国,Country
テレビ,tv set
世界,world
関連,connection
三,three
化,Conversion
せる,Make
前,Previous
映画,movie
によって,By
作品,the work
時代,Era
これ,this
位,Position
版,Plate
数,number
賞,award
本,Book
型,Mold
州,state
分,Part
上,Up
話,Talk
元,Origin
登場,Appearance
間,while
社,Shrine
局,Bureau
項目,item
出演,Appearance
平成,Heisei
地,Earth
目,eye
道,road
曲,song
使用,use
他,other
持つ,Hold
場合,case
性,sex
監督,directed by
軍,army
発売,Release
選手,player
新,new
大学,University
戦,War
ば,palce
代表,representative
所,Place
活動,Activity
研究,the study
呼ぶ,Call
機,Machine
系,system
う,cormorant
内,Inside
情報,information
さ,difference
多い,many
について,about
次,Next
鉄道,Railway
脚注,footnote
等,etc
において,In
時間,time
主,main
チーム,team
それ,that
初,first time
のみ,only
万,Ten thousand
シリーズ,series
その後,after that
所属,Affiliation
役,Role
受ける,receive
科,Department
作曲,Composition
出身,where one is from
高等,High quality
開始,start
場,Place
公式,official
学,Learning
しかし,However
アメリカ,America
存在,Existence
くる,come
作,Work
車,car
大会,Conference
人物,person
たち,All
形,shape
ゲーム,game
一覧,List
語,word
バス,bus
株式会社,Ltd.
法,Law
歳,age
大阪,Osaka
いう,Say
音楽,music
お,oh
同,same
当時,at that time
事業,business
歴史,history
可能,Possible
教育,education
式,formula
一部,part
見る,look
約,about
小学校,primary school
出場,Participation
ドラマ,Drama
全,all
国際,international
地域,area
開発,development
用,for
つ,Dedicated
関係,relationship
収録,Recording
事,case
明治,Meiji
長,Long
期,Period
彼,he
際,edge
ら,and others
概要,Overview
使う,use
旧,Old
アルバム,album
アニメ,animation
声,voice
および,and
会社,Company
しまう,Be
円,Circle
優勝,win
サイト,site
なお,note that
における,In
南,South
設置,Installation
十,Ten
開催,hold
下,under
作詞,Lyrics
北,North
度,Every time
巻,roll
世,world
力,Power
言う,To tell
出版,Publication
知る,know
王,king
変更,change
担当,responsible person
たり,Otherwise
廃止,abolition
委員,Committee member
色,colour
都市,City
高,High
参加,Participation
利用,use
製作,Production
位置,position
店,shop
事件,Case
中央,Center
名称,name
氏,Mr
市立,Municipal
一般,Ordinary
にて,At
だけ,only
級,Class
都,Capital
以降,from
東,east
制作,Production
野球,baseball
設立,Establishment
センター,Center
試合,game
ん,Hmm
番,Rank
高い,high
中心,center
番号,number
年度,year
年代,Age
機関,institution
発表,publication
その他,others
以上,that's all
同じ,same
現,Present
問題,problem
代,Substitute
ドイツ,Germany
いく,go
編,Edition
参考,reference
子,Child
及び,as well as
道路,road
郵便,Post
地方,Region
用いる,Use
社会,society
記録,record
多く,Many
リーグ,league
種,seed
中学校,junior high school
金,Money
路線,Route
点,point
中国,China
総,Total
以下,Less than
体,body
プロ,Professional
島,island
施設,institution
編曲,Arrangement
人口,population
丁目,Chestnut
文献,Literature
文化,culture
別,another
同年,same year
側,~ side
攻撃,attack
女性,Woman
西,West
京都,Kyoto
ラジオ,radio
入る,come in
さらに,moreover
交通,traffic
頃,Time
サッカー,Football
シングル,single
面,surface
クラブ,club
四,four
各,each
フランス,France
記念,anniversary
名前,name
所在地,location
自分,myself
手,hand
ほか,other
物,object
務める,serve
川,river
選手権,Championship
協会,Association
最終,Last
含む,include
城,castle
イギリス,England
キャラクター,character
内容,Content
地区,district
必要,requirement
両,Both
終了,end
総合,Comprehensive
計画,plan
ファイル,File
女,woman
制,Control
公開,Release
販売,sale
神,God
世紀,century
政治,Politics
表記,labels
艦,Ship
に対して,To
史,History
特別,special
技術,Technology
生,Raw
漫画,Manga
館,Mansion
員,Member
ながら,While
隊,Corps
シーズン,Season
高校,high school
考える,think
全国,Whole country
結果,result
説明,explanation
選挙,selection
卒業,graduation
歌,song
経済,Economy
英語,English
競技,Competition
勝,Victory
人間,human
台,Stand
でも,but
グループ,group
五,Five
女子,Girl
男,Man
営業,Sales
国道,National road
劇場,theater
父,father
科学,Science
戦争,war
自身,Themselves
とき,Time
枠,frame
以外,apart from
同様,Same
府,Prefecture
指定,specify
得る,obtain
モデル,model
車両,vehicle
に関する,Related to
うち,home
教授,Professor
馬,Horse
管理,management
北海道,Hokkaido
再,Re -
と共に,With
星,Star
構成,Constitution
枚,Sheet
列車,train
参照,reference
文庫,Paperback
当初,Beginning
花,flower
メンバー,member
作る,make
影響,Impact
たい,sea ​​bream
異なる,different
受賞,Awarded
部分,part
秒,Second
サイズ,size
建設,construction
期間,period
伴う,Accompany
システム,system
山,Mountain
大きい,big
自動車,Automobile
室,Room
出る,Come out
特に,especially
合併,merger
娘,Daughter
とともに,With
最後,last
ので,So
政府,government
戦闘,fight
写真,Photo
団,Group
達,Daiser
製造,Manufacturing
小,small
議員,Parliamentarians
最初,first time
組織,Organization
タイトル,title
構造,structure
ほど,Degree
獲得,Acquisition
組,set
かつて,Once
水,water
校,school
ただし,however
県立,Prefectural
撮影,photograph
場所,place
企画,plan
官,Government
デビュー,debut
派,Faction
小説,novel
企業,Company
与える,give
通り,street
広島,Hiroshima
権,Right
強い,strong
設定,setting
状態,situation
愛,Love
橋,bridge
条,Articles
一つ,One
発生,occurrence
アメリカ合衆国,united states of america
テーマ,theme
主義,Principle
そして,and
年間,Year